channel_id	program_original_title	program_local_title	program_release_year	start_date	start_time	duration
1724516231	A League of Their Own	Une équipe hors du commun	1992	20161110	10:35:00 PM	7500
69040374	De toutes nos forces	Con todas nuestras fuerzas	2013	20161110	05:30:00 AM	5400
69040374	Body Double	Doble de Cuerpo	1984	20161110	07:00:00 AM	6600
69040374	Field of Dreams	Campo de sueños	1989	20161110	08:50:00 AM	6600
69040374	Oorlogsgeheimen	Secretos de guerra	2014	20161110	10:40:00 AM	6000
69043571	Liv & Maddie	Liv and Maddie	2015	20161105	10:29:00 AM	1860
69043571	Liv & Maddie	Liv and Maddie	2015	20161105	11:00:00 AM	1860
69043571	Liv & Maddie	Liv and Maddie	2016	20161111	07:30:00 AM	1860
69043571	Elena of Avalor	Elena of Avalor	2016	20161111	08:32:00 AM	1860
69043571	Liv & Maddie	Liv and Maddie	2014	20161106	06:31:00 PM	1740
69043571	Liv & Maddie	Liv and Maddie	2015	20161106	07:00:00 PM	1740
69043571	Descendants: Wicked World	Descendants: Wicked World		20161111	09:03:00 AM	180
69043571	Austin & Ally	Austin & Ally	2012	20161111	09:37:00 AM	1860
69043571	Hannah Montana	Hannah Montana	2010	20161111	10:08:00 AM	1860
69043571	Hannah Montana	Hannah Montana	2010	20161111	10:39:00 AM	1860
69043571	Lab Rats	Lab Rats	2012	20161106	07:29:00 PM	1860
69043571	Lab Rats	Lab Rats	2012	20161106	09:00:00 PM	1860
69043571	Liv & Maddie	Liv and Maddie	2014	20161106	05:00:00 PM	1860
69043571	Liv & Maddie	Liv and Maddie	2014	20161106	05:31:00 PM	1740
69043571	Liv & Maddie	Liv and Maddie	2014	20161106	06:00:00 PM	1860
69043571	Lab Rats	Lab Rats	2013	20161106	09:31:00 PM	1740
69043571	Off Air	Off Air		20161109	12:00:00 AM	21600
69043571	Good Luck Charlie	Good Luck Charlie	2012	20161109	09:42:00 PM	1320
69043571	Violetta	Violetta	2012	20161109	10:04:00 PM	2940
69043571	Off Air	Off Air		20161110	12:00:00 AM	21600
